timestamp,two_percenter,major,experience_coding,statistics_knowldege,age,number_of_yells,football_games,basketball_games,volleyball_games,baseball_games,aggie_ring,hours_studying,times_at_bigevent,study_abroad,bedtime,hours_sleeping,homebody_or_goingout,extrovert_introvert,siblings,plan_on_masters,location,video_games,sports,working_out,reading,cooking,dancing,singing,shows_movies_anime,outdoors,photography
11/7/2023 18:58:14,No,engr,2,5,19,2,2,4,0,1,Maybe,4,3,No,After 12:00pm,7,Going out,Extroverted,3,Yes,"APPLETON, WI",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11/7/2023 18:58:49,Yes,cpsc,2.541666667,8,19,6,10,0,0,0,Yes,4,0,No,After 12:00pm,8,Homebody,Introverted,1,Maybe,"FREMONT, CA",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11/7/2023 18:58:59,Yes,cpsc,2.541666667,5,19,0,1,0,0,0,Yes,5,0,No,11:00 PM,6,Homebody,Introverted,1,Maybe,"FRISCO, TX",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11/7/2023 18:59:51,Yes,stat,3,10,22,0,0,0,0,0,Yes,2,2,No,After 12:00am,6,Homebody,Extroverted,2,Yes,"KATY, TX",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11/7/2023 19:00:48,No,cpsc,4,5,20,1,3,0,0,0,Yes,3,2,No,After 12:00am,6,Homebody,Introverted,1,Yes,"KATY, TX",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
11/7/2023 19:01:02,Yes,engr,0,4,18,0,0,0,0,0,Yes,3,0,No,11:00 PM,8,Going out,Extroverted,1,No,"PLANO, TX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
11/7/2023 19:01:03,Yes,stat,2,2,18,3,0,0,0,0,Yes,3,0,No,12:00 AM,8,Homebody,Introverted,1,Yes,"KATY, TX",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
11/7/2023 19:01:06,No,engr,2,3,18,8,2,0,0,0,Yes,2,0,No,After 12:00am,7,Homebody,Introverted,2,Maybe,"DALLAS, TX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11/7/2023 19:01:14,No,cpsc,4,3,20,2,3,1,0,0,Yes,5,0,No,After 12:00am,6,Going out,Introverted,0,Yes,"DALLAS, TX",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11/7/2023 19:01:24,No,cpsc,4,2,21,4,5,0,0,0,Yes,2,1,No,After 12:00am,7,Homebody,Introverted,1,No,"SUGAR LAND, TX",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
11/7/2023 19:01:31,Yes,cpsc,4,5,21,0,0,0,0,0,Yes,4,0,Yes,11:00 PM,7,Homebody,Introverted,1,Maybe,"HOUSTON, TX",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
11/7/2023 19:01:49,Yes,engr,4,7,18,0,0,0,0,0,Yes,2,0,No,After 12:00am,6,Going out,Extroverted,2,No,"SUGAR LAND, TX",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11/7/2023 19:02:12,Yes,cpsc,2,1,18,0,2,0,0,0,Yes,4,0,No,9:00 PM,8,Homebody,Introverted,1,Maybe,"SUGAR LAND, TX",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
